time,cell0,cell1,cell2,cell3,cell4,cell5,acc_x,acc_y,acc_z,roll,pitch,yaw,latitude,longitude,satellites,velocity,rpm_lr,rpm_rr,rpm_lf,rpm_rf,steering,throttle 
1714023284.919395,0.0,0.0,0.0,0.387796875,0.478515625,-1.5625e-05,0.047900390625000004,-0.9005273437500001,9.800419921875001,-5.2734375,-0.2911376953125,82.15576171875,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
1714023284.9874163,0.0,0.0,0.0,0.387796875,0.478515625,-1.5625e-05,0.047900390625000004,-0.9053173828125001,9.8052099609375,-5.2734375,-0.2911376953125,82.15576171875,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
1714023285.0554585,0.0,0.0,0.0,0.387796875,0.478515625,-1.5625e-05,0.052690429687500005,-0.9053173828125001,9.8052099609375,-5.2734375,-0.2911376953125,82.15576171875,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
1714023285.1234841,0.0,0.0,0.0,0.387796875,0.478515625,-1.5625e-05,0.0383203125,-0.8957373046875,9.7956298828125,-5.2734375,-0.2911376953125,82.15576171875,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
1714023285.191507,0.0,0.0,0.0,0.387796875,0.478515625,-1.5625e-05,0.047900390625000004,-0.9005273437500001,9.814790039062501,-5.2734375,-0.2911376953125,82.15576171875,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
1714023285.2595348,0.0,0.0,0.0,0.387796875,0.478515625,-1.5625e-05,0.047900390625000004,-0.9053173828125001,9.800419921875001,-5.2734375,-0.2911376953125,82.15576171875,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
1714023285.327562,0.0,0.0,0.0,0.387796875,0.478515625,-1.5625e-05,0.047900390625000004,-0.9053173828125001,9.800419921875001,-5.2734375,-0.2911376953125,82.15576171875,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
1714023285.3955953,0.0,0.0,0.0,0.3878125,0.47850000000000004,0.0,0.05748046875,-0.9053173828125001,9.8052099609375,-5.2734375,-0.2911376953125,82.15576171875,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
1714023286.209759,0.0,0.0,0.0,0.3878125,0.47850000000000004,0.0,0.052690429687500005,-0.9053173828125001,9.800419921875001,-5.2734375,-0.2911376953125,82.15576171875,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
1714023286.2777855,0.0,0.0,0.0,0.3878125,0.47850000000000004,0.0,0.047900390625000004,-0.9053173828125001,9.800419921875001,-5.2734375,-0.2911376953125,82.15576171875,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
1714023286.3458138,0.0,0.0,0.0,0.3878125,0.47850000000000004,0.0,0.052690429687500005,-0.9053173828125001,9.8052099609375,-5.2734375,-0.2911376953125,82.15576171875,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
1714023286.4138575,0.0,0.0,0.0,0.3878125,0.47850000000000004,0.0,0.0431103515625,-0.8957373046875,9.8052099609375,-5.2734375,-0.2911376953125,82.15576171875,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
